AC001	ｽﾗｲﾑｲﾔﾘﾝｸﾞ
AC002	ｽﾗｲﾑﾈｯｸﾚｽ
AC003	ｽﾗｲﾑﾍﾟﾝﾀﾞﾝﾄ
AC010	ｼﾙﾊﾞｰｲﾔﾘﾝｸﾞ
AC020	ｺﾞｰﾙﾄﾞｲﾔﾘﾝｸﾞ
AC030	水晶のｲﾔﾘﾝｸﾞ
AX010	ﾊﾞﾄﾙｱｸｽ
AX020	ﾐｽﾘﾙｱｸｽ
AX025	ﾊｲﾐｽﾘﾙｱｸｽ
AX030	ﾄﾏﾎｰｸ
AX040	ﾓｰﾙｱｸｽ
AX050	ﾃﾞﾋﾞﾙｱｸｽ
AX070	ｷﾞｶﾞﾝﾄｱｸｽ
AX071	ﾃﾞｨｱﾏﾝﾄｱｸｽ
AX080	ｵﾘﾝﾎﾟｽ
AX081	ﾌｧﾝﾀｽｱｸｽ
AX085	ﾚｲﾃﾞｨｱﾝﾄｱｸｽ
AX090	ﾄﾞﾗｺﾞﾝｱｸｽ
AX095	ﾏｻｶﾘ
AX100	ﾎﾟｾｲﾄﾞﾝ
AX110	ｱﾎﾟｶﾘﾌﾟｽ
AX120	ｷﾞﾙｶﾞﾒｯｼｭ
AX130	ﾄﾞﾗｺﾞﾝｱｸｽ改
AX140	ﾈﾌﾟﾄｩﾇｽ
AX150	ﾍﾟﾙｾﾎﾟﾈ
AX160	ｶﾉｰﾌﾟｽ
AX170	ｺｷｭｰﾄｽ
AX300	MAOｱｸｽ
AXW010	ﾐﾉﾀｳﾛｱｸｽ
AXW020	ｷﾞﾛﾁﾝｱｸｽ
AXW030	ﾖｻｸﾉｱｸｽ
AXW040	ｷﾞｽｹﾉｱｸｽ
BT010	ぼろ靴
BT020	革靴
BT025	ﾋﾞｰﾁｻﾝﾀﾞﾙ
BT030	ｱｲｱﾝﾌﾞｰﾂ
BT035	草履
BT040	ﾐｽﾘﾙﾌﾞｰﾂ
BT045	ﾊｲﾐｽﾘﾙﾌﾞｰﾂ
BT050	黒長靴
BT060	ﾏｼﾞｯｸｼｭｰｽﾞ
BT070	ﾌｪｻﾞｰﾌﾞｰﾂ
BT080	ﾀﾞｰｸﾌﾞｰﾂ
BT090	ｴﾚﾒﾝﾀﾙｼｭｰｽﾞ
BT100	ﾊﾞﾄﾙﾚｯｸﾞ
BT110	ｸﾘｽﾀﾙｼｭｰｽﾞ
BT120	ｼｬﾄﾞｳﾌﾞｰﾂ
BT130	ﾙｰﾝｼｭｰｽﾞ
BT140	忍長靴
BT150	ｱｰﾏｰﾄﾞﾚｯｸﾞ
BT160	ｼｰﾙﾄﾞﾚｯｸﾞ
BT165	ｳﾞｫｰﾄﾚｯｸﾞ
BT170	ﾄﾞﾗｺﾞﾝﾚｯｸﾞ
BT175	ｻｳﾞｫﾃﾝﾌﾞｰﾂ
BT180	ﾑｰﾝｼｭｰｽﾞ
BT190	ﾃﾞﾋﾞﾙﾌﾞｰﾂ
BT200	安全靴
BT210	探検靴
BT220	ｽﾊﾟｲｸｼｭｰｽﾞ
BT230	鉄下駄
BT240	ｵﾘﾊﾙｺﾝﾚｯｸﾞ
BT250	ﾄﾞﾗｺﾞﾝﾚｯｸﾞ改
BT260	ねこｼｭｰｽﾞ
BT265	俵紋の足甲
BT270	ｱﾙｶﾅｼｭｰｽﾞ
BT280	ﾃﾞｨﾒﾝｼｮﾝﾌﾞｰﾂ
BT290	ﾗﾋﾟｽｼｭｰｽﾞ
BT300	ﾜﾝﾀﾞｰｼｭｰｽﾞ
BT310	ｱﾝﾌﾞﾗｰﾌﾞｰﾂ
BT320	ﾊﾙﾓﾆｱｼｭｰｽﾞ
BT330	ﾒﾌｨｽﾄﾌﾞｰﾂ
BT340	ｳﾗﾇｽﾚｯｸﾞ
BT350	ｴﾃﾞﾝｼｭｰｽﾞ
BT360	ﾍﾙﾒｽﾌﾞｰﾂ
BT370	ｱｷﾚｳｽﾚｯｸﾞ
BT380	ｳｪｽﾞﾝﾚｯｸﾞ
BT390	ｽﾋﾟｶｼｭｰｽﾞ
BT400	ｶｽﾄﾙﾌﾞｰﾂ
BT410	ﾐｻﾞｰﾙﾚｯｸﾞ
BT420	ﾏｰﾘﾝｼｭｰｽﾞ
BT430	ｻｼﾞﾀﾘｰﾌﾞｰﾂ
BT440	豚足
BT710	ﾋﾟｸﾞﾐｰのｻﾝﾀﾞﾙ
CAP010	黒頭巾
CAP020	ﾊﾝﾀｰｷｬｯﾌﾟ
CAP030	ﾀｰﾊﾞﾝ
CAP040	ﾌﾞﾗｯｸｷｬｯﾌﾟ
CAP050	ﾒﾀﾙｷﾞｱ
CAP060	ﾊﾟｲﾚｰﾂｷｬｯﾌﾟ
CAP070	ﾀﾞｰｸﾏｽｸ
CAP075	ﾐﾗｰｼﾞｭｷｬｯﾌﾟ
CAP080	ｼｬﾄﾞｳﾏｽｸ
CAP085	ｲﾘｭｰｼﾞｮﾝｷｬｯﾌﾟ
CAP090	ﾃﾞﾋﾞﾙﾏｽｸ
CAP100	ｷﾗｰﾏｽｸ
CAP110	ﾏｽﾀｰｷｬｯﾌﾟ
CAP120	ｱﾝﾌｪｰﾙﾏｽｸ
CAP130	ｼﾞｪﾉｻｲﾄﾞｷｬｯﾌﾟ
CAP140	ﾃﾞｨｱﾌﾞﾛﾏｽｸ
CAP150	ｱﾇﾋﾞｽﾏｽｸ
CAP160	ﾃﾞﾈﾎﾞﾗﾏｽｸ
CAP170	ｱﾙｺﾞﾗﾏｽｸ
CLS005	ｽﾆｰｸｽｰﾂ
CLS010	黒装束
CLS020	ﾀﾞｰｸｽｰﾂ
CLS030	ｼｬﾄﾞｳｽｰﾂ
CLS040	ｺﾏﾝﾀﾞｰｽｰﾂ
CLS050	ﾌｨｱﾌﾙｽｰﾂ
CLS060	ｼﾞｪｲﾄﾞｽｰﾂ
CLS070	ｶｵｽｽｰﾂ
CLS080	ﾀﾅﾄｽｽｰﾂ
CLS090	ｼｪﾀﾞﾙｽｰﾂ
ENC001	ﾚｯﾄﾞﾍﾟｯﾊﾟｰ
ETC000	ﾁｭｰﾄﾘｱﾙ修了証書
ETC010	ﾁｷﾝの肉
ETC016	保護ｼｰﾙ
ETC020	つぼ
ETC030	ﾔｼｶﾞﾆの殻
ETC040	巨木の枝
ETC050	ﾌｪｱﾘｰの羽
ETC060	豚肉
ETC070	高級つぼ
ETC080	ｲﾉｼｼの肉
ETC090	牛肉
ETC100	鉄のかたまり
ETC101	ｷｬﾝﾃﾞｨ
ETC1010	ｽﾍﾟｰﾄﾞｾｯﾄ
ETC102	ｽｰﾊﾟｰｷｬﾝﾃﾞｨ
ETC1020	ﾊｰﾄｾｯﾄ
ETC103	ﾊﾛｳｨﾝのお菓子
ETC1030	ﾀﾞｲﾔｾｯﾄ
ETC1040	ｸﾗﾌﾞｾｯﾄ
ETC110	ｽﾗｲﾑの結晶
ETC120	ｼﾙｸ
ETC130	高級絨毯
ETC140	ｾﾞﾗﾁﾝ
ETC150	ﾃﾞﾋﾞﾙﾌﾟﾗﾝﾄの種
ETC160	石板
ETC170	ﾀﾞｰｸﾏﾃﾘｱﾙ
ETC180	ｸﾗｰｹﾝのｲｶｽﾐ
ETC190	たこつぼ
ETC200	精霊の水
ETC210	はちみつ
ETC220	神秘の石
ETC225	神秘の魔石
ETC230	魔法の絨毯
ETC240	青銅のかたまり
ETC250	ﾐｽﾘﾙのかけら
ETC260	名工のつぼ
ETC270	ｵｰﾊﾟｰﾂ
ETC280	ﾄﾗﾝﾌﾟｶｰﾄﾞ
ETC290	ｺｳﾓﾘの羽
ETC300	ﾓﾋﾞｰﾃﾞｨｯｸのﾋｹﾞ
ETC310	ﾚｯﾄﾞｸﾘｽﾀﾙ
ETC320	ｵﾚﾝｼﾞｸﾘｽﾀﾙ
ETC330	ｲｴﾛｰｸﾘｽﾀﾙ
ETC340	ｸﾞﾘｰﾝｸﾘｽﾀﾙ
ETC350	ﾌﾞﾙｰｸﾘｽﾀﾙ
ETC360	ｲﾝﾃﾞｨｺﾞｸﾘｽﾀﾙ
ETC370	ﾊﾟｰﾌﾟﾙｸﾘｽﾀﾙ
ETC380	ﾌｶﾋﾚ
ETC390	玉手箱
ETC410	ﾄﾗﾝﾌﾟｶｰﾄﾞ(ｽﾍﾟｰﾄﾞ)
ETC420	ﾄﾗﾝﾌﾟｶｰﾄﾞ(ﾊｰﾄ)
ETC430	ﾄﾗﾝﾌﾟｶｰﾄﾞ(ﾀﾞｲﾔ)
ETC440	ﾄﾗﾝﾌﾟｶｰﾄﾞ(ｸﾗﾌﾞ)
ETC450	ﾘﾝｺﾞ
ETC460	ﾈｷﾞ
ETC480	高級茶碗
ETC490	極上反物
ETC500	漆
ETC501	刺繍の糸
ETC502	金糸
ETC503	螺陣織の布
ETC504	天草鉱
ETC510	ﾄﾗﾝﾌﾟｶｰﾄﾞ(ｽﾍﾟｰﾄﾞJ)
ETC520	ﾄﾗﾝﾌﾟｶｰﾄﾞ(ｽﾍﾟｰﾄﾞQ)
ETC530	ﾄﾗﾝﾌﾟｶｰﾄﾞ(ｽﾍﾟｰﾄﾞK)
ETC540	ﾄﾗﾝﾌﾟｶｰﾄﾞ(ｽﾍﾟｰﾄﾞA)
ETC550	ﾄﾗﾝﾌﾟｶｰﾄﾞ(ﾊｰﾄJ)
ETC560	ﾄﾗﾝﾌﾟｶｰﾄﾞ(ﾊｰﾄQ)
ETC570	ﾄﾗﾝﾌﾟｶｰﾄﾞ(ﾊｰﾄK)
ETC580	ﾄﾗﾝﾌﾟｶｰﾄﾞ(ﾊｰﾄA)
ETC590	ﾄﾗﾝﾌﾟｶｰﾄﾞ(ﾀﾞｲﾔJ)
ETC600	ﾄﾗﾝﾌﾟｶｰﾄﾞ(ﾀﾞｲﾔQ)
ETC610	ﾄﾗﾝﾌﾟｶｰﾄﾞ(ﾀﾞｲﾔK)
ETC620	ﾄﾗﾝﾌﾟｶｰﾄﾞ(ﾀﾞｲﾔA)
ETC630	ﾄﾗﾝﾌﾟｶｰﾄﾞ(ｸﾗﾌﾞJ)
ETC640	ﾄﾗﾝﾌﾟｶｰﾄﾞ(ｸﾗﾌﾞQ)
ETC650	ﾄﾗﾝﾌﾟｶｰﾄﾞ(ｸﾗﾌﾞK)
ETC660	ﾄﾗﾝﾌﾟｶｰﾄﾞ(ｸﾗﾌﾞA)
ETC666	悪魔の契約書
ETC670	ﾄﾗﾝﾌﾟｶｰﾄﾞ(ｼﾞｮｰｶｰ)
ETC680	ｱﾋﾞｽの石
ETC690	地獄の通行手形
ETC700	ﾋﾟｸﾞﾐｰﾄﾞﾗｺﾞﾝのうろこ
ETC710	ｴﾙﾀﾞｰﾄﾞﾗｺﾞﾝのうろこ
ETC720	ｽｶｲﾄﾞﾗｺﾞﾝのうろこ
ETC730	ﾌﾞﾗｯｸﾄﾞﾗｺﾞﾝのうろこ
ETC740	ﾎﾜｲﾄﾄﾞﾗｺﾞﾝの体毛
ETC750	ｴﾙﾀﾞｰﾄﾞﾗｺﾞﾝの角
ETC760	ｽｶｲﾄﾞﾗｺﾞﾝの爪
ETC770	ﾌﾞﾗｯｸﾄﾞﾗｺﾞﾝの牙
ETC780	ﾄﾞﾗｺﾞﾆｳﾑ
ETC790	ﾄﾞﾗｺﾞﾝﾏﾃﾘｱﾙ
ETC800	鎌鼬の爪
ETC805	牛鬼の牙
ETC810	小判
ETC815	ﾐｰｱｷｬｯﾄの毛皮
ETC820	ﾕﾆｺｰﾝの角
ETC825	百足の殻
ETC830	狐の尻尾
ETC835	殺生石
ETC840	式紙
ETC850	ﾈｺﾏﾀの尻尾
ETC860	河童の甲羅
ETC870	ﾄﾋﾞｳｵの羽
ETC880	神秘の御札
ETC890	神秘の翼
ETC895	超魔導転送器
ETC897	超魔導計測装置
ETC910	金の卵
ETC920	銀の卵
ETC930	ﾌﾟﾗﾁﾅの卵
ETC940	貝柱
ETC950	発光物質
ETC960	ﾗﾌﾚｼｱの花びら
ETC970	骨のかけら
ETC980	混沌の匣
ETC990	ﾚｯｻｰﾄﾞﾗｺﾞﾝのうろこ
EV140	銅の鍵
EV150	銀の鍵
EV160	金の鍵
FAM010	ｸﾛｰｽﾒｲﾙ
FAM020	ﾚｻﾞｰﾒｲﾙ
FAM025	ﾄﾛﾋﾟｶﾙﾊﾟﾚｵ
FAM030	ﾄﾞﾚｽﾒｲﾙ
FAM035	ﾌｨｰﾙﾄﾒｲﾙ
FAM040	ﾁｪｲﾝﾒｲﾙ
FAM050	ｽｹｲﾙﾒｲﾙ
FAM060	ﾌﾞﾚｽﾌﾟﾚｰﾄ
