CNT-010	中央街道1
CNT-020	中央街道2
CNT-030	中央街道3
CNT-040	中央街道4
CNT-050	中央街道5
CNT-060	中央平原
CNT-070	ｺｽﾀ西海岸1
CNT-080	ｺｽﾀ西海岸2
CNT-090	ｺｽﾀ西海岸3
CNT-100	ｺｽﾀ西海岸4
CNT-110	砂利道1
CNT-120	砂利道2
CNT-130	雑木林1
CNT-140	雑木林2
CNT-150	緑の泉
CNT-160	小川の道
CNT-170	緩やかな峠
CNT-180	ﾚｲﾓﾝﾄﾞ平原西3
CNT-185	ｱﾃｰﾚの橋
CNT-190	ﾚｲﾓﾝﾄﾞ平原西2
CNT-200	ﾚｲﾓﾝﾄﾞ平原西1
CNT-210	ﾚｲﾓﾝﾄﾞ平原東1
CNT-220	ﾚｲﾓﾝﾄﾞ平原東2
CNT-230	薄暗い分岐路
CNT-231	湿地
CNT-232	底なし沼
CNT-240	薄暗い森1
CNT-250	薄暗い森2
CNT-260	魔女の森1
CNT-270	魔女の森2
CNT-271	ﾄﾛｰﾙの森1
CNT-272	ﾄﾛｰﾙの森2
CNT-273	迷いの森入口
CNT-280	霧の森3
CNT-290	霧の森2
CNT-300	霧の森1
CNT-310	林道2
CNT-320	林道1
CNT-330	緑の丘
CNT-340	草原4
CNT-350	草原3
CNT-360	草原2
CNT-370	草原1
CNT-380	ﾚｲﾓﾝﾄﾞ北街道4
CNT-390	ﾚｲﾓﾝﾄﾞ北街道3
CNT-400	ﾚｲﾓﾝﾄﾞ北街道1
CNT-410	ﾚｲﾓﾝﾄﾞ北街道2
CNT-420	ﾚｲﾓﾝﾄﾞ西街道1
CNT-430	ﾚｲﾓﾝﾄﾞ西街道2
CNT-440	ﾚｲﾓﾝﾄﾞ西街道3
CNT-450	ﾚｲﾓﾝﾄﾞ西街道4
CNT-460	ﾚｲﾓﾝﾄﾞ西街道5
CNT-470	荒れた街道1
CNT-480	荒れた街道2
CNT-490	荒れた街道3
CNT-500	乾いた道1
CNT-510	乾いた道2
CNT-520	乾いた道3
CNT-530	ｲｼｭﾀｰﾙ平原3
CNT-540	ｲｼｭﾀｰﾙ平原2
CNT-550	ｲｼｭﾀｰﾙ平原1
CNT-560	荒野1
CNT-570	荒野2
CNT-580	岩場
CNT-590	山道1
CNT-600	山道2
CNT-610	石切場跡
CNT-620	砂漠への道
CNT-630	ｲｼｭﾀｰﾙ砂漠2
